# check-patterns baseline — pre-existing violations allowed by the ratchet.
# Regenerate with:  npm run check:patterns -- --update-baseline
# Each line: rule|relative-path:line
no-collect-on-reservations-without-index|convex/ai_insights.ts:18
no-collect-on-reservations-without-index|convex/audit_snapshot.ts:18
no-collect-on-reservations-without-index|convex/backfill_hygglo_images.ts:146
no-collect-on-reservations-without-index|convex/backfill_hygglo_images.ts:57
no-collect-on-reservations-without-index|convex/backfill_hygglo_images.ts:82
no-collect-on-reservations-without-index|convex/calendar.ts:100
no-collect-on-reservations-without-index|convex/calendar.ts:544
no-collect-on-reservations-without-index|convex/calendar.ts:739
no-collect-on-reservations-without-index|convex/dashboard_chat_context.ts:110
no-collect-on-reservations-without-index|convex/dashboard_invariants.ts:69
no-collect-on-reservations-without-index|convex/extract_booking_times_q.ts:119
no-collect-on-reservations-without-index|convex/extract_booking_times_q.ts:80
no-collect-on-reservations-without-index|convex/health.ts:56
no-collect-on-reservations-without-index|convex/intel.ts:101
no-collect-on-reservations-without-index|convex/intel.ts:1049
no-collect-on-reservations-without-index|convex/intel.ts:1152
no-collect-on-reservations-without-index|convex/intel.ts:172
no-collect-on-reservations-without-index|convex/intel.ts:407
no-collect-on-reservations-without-index|convex/intel.ts:481
no-collect-on-reservations-without-index|convex/intel.ts:540
no-collect-on-reservations-without-index|convex/intel.ts:597
no-collect-on-reservations-without-index|convex/intel.ts:657
no-collect-on-reservations-without-index|convex/intel.ts:729
no-collect-on-reservations-without-index|convex/intel.ts:779
no-collect-on-reservations-without-index|convex/intel.ts:831
no-collect-on-reservations-without-index|convex/intel.ts:891
no-collect-on-reservations-without-index|convex/intel.ts:968
no-collect-on-reservations-without-index|convex/item_resolver_queries.ts:154
no-collect-on-reservations-without-index|convex/item_resolver_queries.ts:219
no-collect-on-reservations-without-index|convex/item_resolver_queries.ts:256
no-collect-on-reservations-without-index|convex/item_resolver_queries.ts:391
no-collect-on-reservations-without-index|convex/items.ts:1248
no-collect-on-reservations-without-index|convex/items.ts:1436
no-collect-on-reservations-without-index|convex/items.ts:488
no-collect-on-reservations-without-index|convex/items.ts:741
no-collect-on-reservations-without-index|convex/items.ts:857
no-collect-on-reservations-without-index|convex/listing_cache.ts:201
no-collect-on-reservations-without-index|convex/mv/churn_risk.ts:24
no-collect-on-reservations-without-index|convex/revenue.ts:214
no-collect-on-reservations-without-index|convex/revenue.ts:277
no-collect-on-reservations-without-index|convex/seed/data.ts:283
no-collect-on-reservations-without-index|convex/tax.ts:100
no-llm-in-convex-action|convex/denial_canonicalizer.ts:117
no-llm-in-convex-action|convex/denial_resolver.ts:66
no-llm-in-convex-action|convex/extract_booking_times.ts:220
no-llm-in-convex-action|convex/item_resolver.ts:289
no-llm-in-convex-action|convex/vision_resolver.ts:172
no-public-convex-url-env-in-mastra|src/mastra/workflows/hygglo_poll.ts:36
